,Full Journal Title,Title,TITLE_UPPER,SJR,Journal Impact Factor
0,CA-A CANCER JOURNAL FOR CLINICIANS,Ca-A Cancer Journal for Clinicians,CA-A CANCER JOURNAL FOR CLINICIANS,62.937,508.702
1,MMWR Recommendations and Reports,MMWR Recommendations and Reports,MMWR RECOMMENDATIONS AND REPORTS,40.949,55.857
2,NATURE REVIEWS MOLECULAR CELL BIOLOGY,Nature Reviews Molecular Cell Biology,NATURE REVIEWS MOLECULAR CELL BIOLOGY,37.461,94.444
3,QUARTERLY JOURNAL OF ECONOMICS,Quarterly Journal of Economics,QUARTERLY JOURNAL OF ECONOMICS,34.573,15.563
4,Nature Reviews Materials,Nature Reviews Materials,NATURE REVIEWS MATERIALS,32.011,66.308
5,,"National vital statistics reports : from the Centers for Disease Control and Prevention, National Center for Health Statistics, National Vital Statistics System","NATIONAL VITAL STATISTICS REPORTS : FROM THE CENTERS FOR DISEASE CONTROL AND PREVENTION, NATIONAL CENTER FOR HEALTH STATISTICS, NATIONAL VITAL STATISTICS SYSTEM",28.083,
6,CELL,Cell,CELL,26.304,41.582
7,NATURE REVIEWS GENETICS,Nature Reviews Genetics,NATURE REVIEWS GENETICS,26.214,53.242
8,REVIEWS OF MODERN PHYSICS,Reviews of Modern Physics,REVIEWS OF MODERN PHYSICS,24.877,54.494
9,JOURNAL OF POLITICAL ECONOMY,Journal of Political Economy,JOURNAL OF POLITICAL ECONOMY,21.034,9.103
10,NATURE REVIEWS IMMUNOLOGY,Nature Reviews Immunology,NATURE REVIEWS IMMUNOLOGY,20.529,53.106
11,CHEMICAL REVIEWS,Chemical Reviews,CHEMICAL REVIEWS,20.528,60.622
12,,MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC,MMWR. SURVEILLANCE SUMMARIES : MORBIDITY AND MORTALITY WEEKLY REPORT. SURVEILLANCE SUMMARIES / CDC,19.961,
13,NEW ENGLAND JOURNAL OF MEDICINE,New England Journal of Medicine,NEW ENGLAND JOURNAL OF MEDICINE,19.889,91.245
14,Nature Energy,Nature Energy,NATURE ENERGY,19.733,60.858
15,NATURE REVIEWS CANCER,Nature Reviews Cancer,NATURE REVIEWS CANCER,19.575,60.716
16,NATURE MEDICINE,Nature Medicine,NATURE MEDICINE,19.536,53.44
17,NATURE METHODS,Nature Methods,NATURE METHODS,19.469,28.547
18,NATURE GENETICS,Nature Genetics,NATURE GENETICS,18.861,38.33
19,Academy of Management Annals,Academy of Management Annals,ACADEMY OF MANAGEMENT ANNALS,18.318,16.438
20,Annual Review of Immunology,Annual Review of Immunology,ANNUAL REVIEW OF IMMUNOLOGY,18.301,28.527
21,JOURNAL OF FINANCE,Journal of Finance,JOURNAL OF FINANCE,18.151,7.544
22,AMERICAN ECONOMIC REVIEW,American Economic Review,AMERICAN ECONOMIC REVIEW,16.936,9.17
23,Annual Review of Biochemistry,Annual Review of Biochemistry,ANNUAL REVIEW OF BIOCHEMISTRY,16.921,23.643
24,ECONOMETRICA,Econometrica,ECONOMETRICA,16.7,5.844
25,ECONOMETRICA,Econometrica,ECONOMETRICA,16.7,5.844
26,Nature Reviews Chemistry,Nature Reviews Chemistry,NATURE REVIEWS CHEMISTRY,16.465,34.035
27,NATURE,Nature,NATURE,15.993,49.962
28,REVIEW OF ECONOMIC STUDIES,Review of Economic Studies,REVIEW OF ECONOMIC STUDIES,15.641,6.345
29,Annual Review of Astronomy and Astrophysics,Annual Review of Astronomy and Astrophysics,ANNUAL REVIEW OF ASTRONOMY AND ASTROPHYSICS,15.623,30.065
30,CHEMICAL SOCIETY REVIEWS,Chemical Society Reviews,CHEMICAL SOCIETY REVIEWS,15.598,54.564
31,World Psychiatry,World Psychiatry,WORLD PSYCHIATRY,15.51,49.548
32,World Psychiatry,World Psychiatry,WORLD PSYCHIATRY,15.51,49.548
33,NATURE BIOTECHNOLOGY,Nature Biotechnology,NATURE BIOTECHNOLOGY,15.358,54.908
34,ADMINISTRATIVE SCIENCE QUARTERLY,Administrative Science Quarterly,ADMINISTRATIVE SCIENCE QUARTERLY,15.098,11.113
35,,Energy and Environmental Science,ENERGY AND ENVIRONMENTAL SCIENCE,14.486,
36,NATURE MATERIALS,Nature Materials,NATURE MATERIALS,14.344,43.841
