Author,Title,Keywords,Year,Type Pulication,DOI
"El Alaoui, Imane and Gahi, Youssef and Messoussi, Rochdi",Big Data Quality Metrics for Sentiment Analysis Approaches,"Big data, Sentiment analysis, Big data quality metrics",2019,inproceedings,10.1145/3341620.3341629
"Reda, Oumaima and Sassi, Imad and Zellou, Ahmed and Anter, Samir",Towards a Data Quality Assessment in Big Data,"Data Quality, Quality Models, Data Quality evaluation, Big Data",2020,inproceedings,10.1145/3419604.3419803
"Emmanuel, Isitor and Stanier, Clare",Defining Big Data,"Big Data, Big Data characteristics, Data Quality, Data Quality Dimensions",2016,inproceedings,10.1145/3010089.3010090
"Baldassarre, Maria Teresa and Caballero, Ismael and Caivano, Danilo and Rivas Garcia, Bibiano and Piattini, Mario",From Big Data to Smart Data: A Data Quality Perspective,"Smart Data, Data Quality, Big Data",2018,inproceedings,10.1145/3281022.3281026
"Cuzzocrea, Alfredo and Sacc\`{a}, Domenico and Ullman, Jeffrey D.",Big Data: A Research Agenda,"OLAP over big data, privacy of big data, big data, big data posting",2013,inproceedings,10.1145/2513591.2527071
"Pti\v{c}ek, Marina and Vrdoljak, Boris",Big Data and New Data Warehousing Approaches,"data warehouse, NoSQL, MapReduce, databases, big data, NewSQL",2017,inproceedings,10.1145/3141128.3141139
"Neamtu, Rodica and Ahsan, Ramoza and Stokes, Jeff and Hoxha, Armend and Bao, Jialiang and Gvozdenovic, Stefan and Meyer, Ted and Patel, Nilesh and Rangan, Raghu and Wang, Yumou and Zhang, Dongyun and Rundensteiner, Elke A.",Taming Big Data: Integrating Diverse Public Data Sources for Economic Competitiveness Analytics,"diverse data sources, data integration, Big data",2014,inproceedings,10.1145/2658840.2658845
"Khan, Nawsher and Alsaqer, Mohammed and Shah, Habib and Badsha, Gran and Abbasi, Aftab Ahmad and Salehian, Soulmaz","The 10 Vs, Issues and Challenges of Big Data","Big Data, Data Management",2018,inproceedings,10.1145/3206157.3206166
"Cho, Wonhee and Lim, Yoojin and Lee, Hwangro and Varma, Mohan Krishna and Lee, Moonsoo and Choi, Eunmi",Big Data Analysis with Interactive Visualization Using R Packages,"Visualization, Hadoop, R, Big data, Mining",2014,inproceedings,10.1145/2640087.2644168
"Raza, Muhammad Umair and XuJian, Zhao",A Comprehensive Overview of BIG DATA Technologies: A Survey,"Apache Hadoop, MapReduce, HDFS, Big Data Technology",2020,inproceedings,10.1145/3404687.3404694
"Cao, Shuangshuang",Opportunities and Challenges of Marketing in the Context of Big Data,"Personalized service, Marketing, Big data",2021,inproceedings,10.1145/3456389.3456390
"Chen, Hong-Mei and Kazman, Rick and Garbajosa, Juan and Gonzalez, Eloy",Toward Big Data Value Engineering for Innovation,"ecosystem, big data, value engineering, value discovery, architecture landscape, innovation, energy industry",2016,inproceedings,10.1145/2896825.2896837
"Chen, Hong-Mei and Kazman, Rick and Haziyev, Serge and Hrytsay, Olha",Big Data System Development: An Embedded Case Study with a Global Outsourcing Firm,"system engineering, software architecture, embedded case study methodology, data system design methods, collaborative practice research, big data",2015,inproceedings,empty
"Zhi-peng, Sun and Gui-ming, Chen and Hui, Zhang",Evaluation of Large-Scale Complex Systems Effectiveness Based on Big Data,"big data, evaluation, large-scale complex systems, effectiveness",2019,inproceedings,10.1145/3335484.3335545
"Davoudian, Ali and Liu, Mengchi",Big Data Systems: A Software Engineering Perspective,"requirements engineering, Big Data systems, software engineering, software reference architecture, quality assurance, Big Data",2020,article,10.1145/3408314
"Abell\'{o}, Alberto",Big Data Design,"big data, database design, nosql",2015,inproceedings,10.1145/2811222.2811235
"Safhi, Hicham Moad and Frikh, Bouchra and Ouhbi, Brahim",Data Source Selection in Big Data Context,"Source reliability, Big Data integration, Data quality, Big Data Source Selection",2019,inproceedings,10.1145/3366030.3366121
"Mohammad, Atif and Mcheick, Hamid and Grant, Emanuel",Big Data Architecture Evolution: 2014 and Beyond,"big data, cloud computing",2014,inproceedings,10.1145/2656346.2656358
"Heer, Jeffrey and Kandel, Sean",Interactive Analysis of Big Data,empty,2012,article,10.1145/2331042.2331058
"Thuraisingham, Bhavani",Big Data Security and Privacy,"privacy, security, big data",2015,inproceedings,10.1145/2699026.2699136
"Gopalkrishnan, Vivekanand and Steier, David and Lewis, Harvey and Guszcza, James","Big Data, Big Business: Bridging the Gap",empty,2012,inproceedings,10.1145/2351316.2351318
"Wang, Jianwu and Tang, Yan and Nguyen, Mai and Altintas, Ilkay",A Scalable Data Science Workflow Approach for Big Data Bayesian Network Learning,"Ensemble learning, Scientific workflow, Hadoop, Bayesian network, Distributed computing, Kepler, Big Data",2014,inproceedings,10.1109/BDC.2014.10
"Kuschicke, Felix and Thiele, Thomas and Meisen, Tobias and Jeschke, Sabina",A Data-Based Method for Industrial Big Data Project Prioritization,"Industrial Big Data, Project Selection, Project Prioritization, Framework, Manufacturing",2017,inproceedings,10.1145/3175684.3175687
"Cappiello, Cinzia and Sam\'{a}, Walter and Vitali, Monica",Quality Awareness for a Successful Big Data Exploitation,empty,2018,inbook,empty
"Sinaeepourfard, Amir and Garcia, Jordi and Masip-Bruin, Xavier and Mar\'{\i}n-Torder, Eva",Towards a Comprehensive Data Lifecycle Model for Big Data Environments,"vs challenges, data lifecycle, data management, data organization, big data, data complexity",2016,inproceedings,10.1145/3006299.3006311
"Mockus, Audris",Engineering Big Data Solutions,"Data Engineering, Statistics, Data Science, Analytics, Data Quality, Operational Data, Game Theory",2014,inproceedings,10.1145/2593882.2593889
"Savas, Onur and Sagduyu, Yalin and Deng, Julia and Li, Jason","Tactical Big Data Analytics: Challenges, Use Cases, and Solutions","big data, algorithms, cloud computing, analytics, tactical environment",2014,article,10.1145/2627534.2627561
"Cuzzocrea, Alfredo and Damiani, Ernesto",Pedigree-Ing Your Big Data: Data-Driven Big Data Privacy in Distributed Environments,empty,2018,inproceedings,10.1109/CCGRID.2018.00100
"Bertot, John Carlo and Choi, Heeyoon","Big Data and E-Government: Issues, Policies, and Recommendations","big data, open government",2013,inproceedings,10.1145/2479724.2479730
"Liou, Teau-Jiuan and Weng, Ming-Wei and Lee, Liza",The Effect of Big Data Platforms on Multi-Stage Production System in Industrie 4.0,"Industrie 4.0, Digital transformation, Big data, Multi-stage assembly",2020,inproceedings,10.1145/3418688.3418697
"Pouyanfar, Samira and Yang, Yimin and Chen, Shu-Ching and Shyu, Mei-Ling and Iyengar, S. S.",Multimedia Big Data Analytics: A Survey,"5V challenges, multimedia databases, retrieval, survey, indexing, machine learning, mobile multimedia, Big data analytics, multimedia analysis, data mining",2018,article,10.1145/3150226
"Cuzzocrea, Alfredo","Warehousing and Protecting Big Data: State-Of-The-Art-Analysis, Methodologies, Future Challenges","Big Data Analytics, Warehousing Big Data, Protecting Big Data, Big Data",2016,inproceedings,10.1145/2896387.2900335
"Chatfield, Akemi Takeoka and Ojo, Adegboyega and Puron-Cid, Gabriel and Reddick, Christopher G.",Census Big Data Analytics Use: International Cross Case Analysis,"big data analytics, public value creation, census big data, electronic census, use, big data challenges, cross case analysis",2018,inproceedings,10.1145/3209281.3209372
"Bahadi, Jihane and El Asri, Bouchra and Courtine, M\'{e}lanie and Rhanoui, Maryem and Kergosien, Yannick",Towards Efficient Big Data: Hadoop Data Placing and Processing,"Data placing, MapReduce jobs, Multidimensional approach, Hadoop, Big Data, Intelligent processing",2018,inproceedings,10.1145/3289100.3289108
